"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_type",2,3330.36026559284,1665.18013279642,16185.6805338541,0
"neighbourhood_group_cleansed",4,515.827321787722,128.95683044693,1253.47043191488,0
"bedrooms",1,704.941633391939,704.941633391939,6852.08756000102,0
"bathrooms",1,101.392893944646,101.392893944646,985.54682311456,1.35099520284282e-211
"s(minimum_nights, 2)",1,14.9233650925686,14.9233650925686,145.056270562601,2.6673976135304e-33
"review_scores_rating",1,61.9870392275211,61.9870392275211,602.518847310075,2.93922383109319e-131
"review_scores_cleanliness",1,3.33321425741096,3.33321425741096,32.3991020903786,1.27166771876648e-08
"review_scores_communication",1,0.949927401092276,0.949927401092276,9.23336829548492,0.00237927205765058
"review_scores_location",1,152.928085277994,152.928085277994,1486.47289516168,1.37569744531072e-314
"review_scores_value",1,44.4064183678776,44.4064183678776,431.633843810103,6.0403586911934e-95
"Amenities.indoorfireplace",1,19.5829885117997,19.5829885117997,190.348172973834,4.06216134579822e-43
"Amenities.airconditioning",1,34.6051425315691,34.6051425315691,336.364679600066,1.44930742008881e-74
"Amenities.cabletv",1,33.3264737152435,33.3264737152435,323.935919154257,6.72238653428424e-72
"Amenities.doorman",1,52.3943684076231,52.3943684076231,509.277340100552,1.75517462683643e-111
"s(accommodates, 5)",1,96.8561028410892,96.8561028410892,941.448860374822,2.03310906835023e-202
"distance_in_meters",1,3.52801808425263,3.52801808425263,34.292610453787,4.81026507372982e-09
"Residuals",21663.9998116982,2228.78871283117,0.102879834389016,NA,NA
