"","V1","V2","V3"
"1","All Linear","0.3222","0.3275"
"2","Base + Logged Distance","0.3222","0.3277"
"3","Base + Smooth Distance 2DF","0.3222","0.3277"
"4","Base + Smooth Distance 3DF","0.3221","0.328"
"5","Base + Smooth Distance 4DF","0.3221","0.3275"
"6","Base + Smooth Distance 5DF","0.322","0.3275"
"7","Base + Smooth Distance 6DF","0.3219","0.3275"
"8","Base + Log Accomodates","0.3216","0.327"
"9","Base + Smooth Accomodates 2 DF","0.3218","0.3275"
"10","Base + Smooth Accomodates 3 DF","0.3214","0.3272"
"11","Base + Smooth Accomodates 4 DF","0.3211","0.3267"
"12","Base + Smooth Accomodates 5 DF","0.3208","0.3263"
"13","Base + Smooth Accomodates 6 DF","0.3206","0.3264"
"14","Base + Smooth Accomodates 7 DF","0.3205","0.3265"
"15","Base + Log Location Review +Smooth Accomodates 5 DF","0.3233","0.3295"
"16","Base + Log Value Review +Smooth Accomodates 5 DF","0.3207","0.3266"
"17","Base + Log Communication Review +Smooth Accomodates 5 DF","0.3207","0.3268"
"18","Base + Log Check in Review +Smooth Accomodates 5 DF","0.3208","0.3263"
"19","Base + Log Cleanliness Review +Smooth Accomodates 5 DF","0.321","0.3266"
"20","Base + Log Accuracy Review +Smooth Accomodates 5 DF","0.3208","0.3269"
"21","Base + Log Rating +Smooth Accomodates 5 DF","0.3211","0.3268"
"22","Base + Log Min Nights +Smooth Accomodates 5 DF","0.3209","0.3268"
"23","Base + Smooth Min Nights 2 DF + Smooth Accomodates 5 DF","0.3205","0.326"
"24","Base + Smooth Min Nights 3 DF + Smooth Accomodates 5 DF","0.3205","0.3262"
"25","Base + Smooth Min Nights 4 DF + Smooth Accomodates 5 DF","0.3204","0.3262"
"26","Base + Smooth Min Nights 5 DF + Smooth Accomodates 5 DF","0.3204","0.3262"
"27","Base + log Bedrooms + Smooth Min Nights 2 DF + Smooth Accomodates 5 DF","0.3226","0.3286"
"28","Base + log Bathrooms + Smooth Min Nights 2 DF + Smooth Accomodates 5 DF","0.3208","0.3266"
"29","Base + Smooth Min Nights 2 DF + Smooth Accomodates 5 DF - Check in Review - accuracy review","0.3206","0.3258"
"30","Base - Check in Review - accuracy review","0.3222","0.3276"
