"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.1944903014317,0.237781583081357,13.4345572942826,5.79978488184657e-41
"neighbourhood_group_cleansedManhattan",0.54624457218993,0.026337274049245,20.7403610247807,1.61231425021053e-94
"room_typePrivate room",-0.566190403331334,0.00578498817701276,-97.8723527182215,0
"room_typeShared room",-0.878605589119537,0.0158067324439504,-55.584263998585,0
"accommodates",0.0620296941149042,0.00249156928577321,24.8958335090628,1.1025290575337e-134
"bathrooms",0.123992367477608,0.00677651755998622,18.2973579541437,3.68783424482855e-74
"bedrooms",0.147233683323718,0.00460673200354093,31.9605488686009,1.88593569741615e-218
"minimum_nights",-0.00537330884274138,0.000455300318547566,-11.8016803939047,4.93236599214516e-32
"availability_60",0.00383434173454042,0.000130932109416968,29.2849611269113,1.74276046320623e-184
"review_scores_location",0.102688900644881,0.00268129723230269,38.2982160305637,2.34830786582259e-309
"review_scores_value",-0.0630575441026921,0.0037195009773105,-16.9532269213941,5.30244837975329e-64
"Amenities.airconditioning",0.0751888114567648,0.00692621266575941,10.8556891168632,2.24894240742626e-27
"Amenities.cabletv",0.0512666485138954,0.00473903841807864,10.8179432178312,3.38865526581278e-27
"Amenities.doorman",0.11730582601035,0.00922849136409129,12.7112678965919,7.19965891842261e-37
"Amenities.indoorfireplace",0.13030372800294,0.0109813639275769,11.8658965190759,2.30727705059943e-32
"neighborhood_clustercluster.5",0.194548211522541,0.0179950499533782,10.8112070834245,3.64534529473329e-27
